location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20210101T0000,11.504147,87.0,5.8603754,100.61965
20210101T0100,11.0841465,87.0,5.937272,104.03624
20210101T0200,10.684147,85.0,7.072878,104.74355
20210101T0300,10.314146,84.0,6.9899354,101.88866
20210101T0400,9.974147,85.0,6.9899354,101.88866
20210101T0500,9.764147,87.0,7.072878,104.74355
20210101T0600,9.674147,89.0,7.2805495,98.53076
20210101T0700,10.774146,89.0,6.9527545,111.2505
20210101T0800,13.0841465,77.0,8.217153,118.81079
20210101T0900,14.114146,71.0,10.1887,122.00538
20210101T1000,15.174147,66.0,9.504273,114.623566
20210101T1100,16.164146,62.0,6.28713,103.24051
20210101T1200,17.234146,58.0,3.5455887,113.96249
20210101T1300,18.124146,54.0,4.39436,124.99202
20210101T1400,18.304146,53.0,5.6002855,135.0
20210101T1500,18.394146,53.0,6.297428,149.03624
20210101T1600,18.214146,54.0,4.6800003,157.38013
20210101T1700,17.614147,57.0,4.802999,167.00539
20210101T1800,16.144146,64.0,5.154415,155.22485
20210101T1900,14.864146,69.0,7.42159,129.09386
20210101T2000,13.534146,68.0,9.659814,116.56505
20210101T2100,12.374146,73.0,9.983106,115.64101
20210101T2200,11.674147,85.0,10.948973,117.40757
20210101T2300,11.174147,84.0,10.315115,119.248825
20210102T0000,10.934147,75.0,9.693296,121.32869
20210102T0100,10.8341465,73.0,9.19939,120.57922
20210102T0200,10.804147,79.0,8.699793,114.44395
20210102T0300,10.634147,86.0,8.891344,111.37062
20210102T0400,10.604146,87.0,9.107359,108.434944
20210102T0500,10.524146,87.0,9.255571,103.49573
20210102T0600,10.434147,87.0,8.12197,102.80426
20210102T0700,10.944146,85.0,7.072878,104.74355
20210102T0800,13.064146,73.0,9.178235,115.55997
20210102T0900,15.164146,65.0,11.246759,129.80557
20210102T1000,16.604145,59.0,9.931042,136.4688
20210102T1100,17.494148,56.0,10.009036,127.69424
20210102T1200,17.914146,57.0,9.885262,123.11134
20210102T1300,17.564148,58.0,9.885262,123.11134
20210102T1400,18.464146,55.0,7.145796,130.91438
20210102T1500,18.694145,53.0,3.319036,130.60129
20210102T1600,18.184147,55.0,0.71999997,180.0
20210102T1700,17.544147,59.0,2.5455842,261.8699
20210102T1800,16.354145,68.0,3.96,270.0
20210102T1900,15.224147,77.0,4.0249224,280.30487
20210102T2000,14.234146,78.0,5.04,89.99999
20210102T2100,13.684147,79.0,5.3999996,89.99999
20210102T2200,13.004147,81.0,6.2145634,100.00798
20210102T2300,12.014147,86.0,6.5693827,99.46232
20210103T0000,11.544147,89.0,6.725354,105.5241
20210103T0100,11.374146,89.0,6.489992,109.44003
20210103T0200,11.204146,88.0,6.2145634,100.00798
20210103T0300,10.984146,87.0,5.0528407,94.08562
20210103T0400,10.744146,87.0,5.0528407,85.91438
20210103T0500,10.414146,87.0,5.0528407,85.91438
20210103T0600,10.074146,88.0,4.73506,81.25384
20210103T0700,11.034146,85.0,3.2599385,83.65981
20210103T0800,12.964147,75.0,3.396233,122.00538
20210103T0900,14.434147,69.0,1.4399999,180.0
20210103T1000,15.794147,64.0,3.2399998,270.0
20210103T1100,16.624146,64.0,6.638072,282.5288
20210103T1200,16.194145,67.0,10.661107,281.68936
20210103T1300,14.734146,78.0,14.471821,275.7106
20210103T1400,13.764147,83.0,14.05845,272.93567
20210103T1500,14.634147,74.0,11.879999,270.0
20210103T1600,14.644147,74.0,10.08,270.0
20210103T1700,14.354146,75.0,10.440001,270.0
20210103T1800,13.124146,82.0,7.92,270.0
20210103T1900,12.454146,86.0,5.771239,266.42368
20210103T2000,11.874146,89.0,2.2768397,251.56506
20210103T2100,11.564146,92.0,2.7416782,246.8014
20210103T2200,11.544147,94.0,2.1897945,260.5377
20210103T2300,11.674147,96.0,2.1897945,260.5377
20210104T0000,11.544147,96.0,1.835647,281.30994
20210104T0100,11.274146,95.0,1.2979984,326.30994
20210104T0200,11.214147,91.0,1.08,360.0
20210104T0300,11.304147,88.0,1.835647,11.309921
20210104T0400,11.274146,88.0,2.9024127,7.125
20210104T0500,11.094147,88.0,3.671294,11.309921
20210104T0600,10.814146,89.0,4.452954,14.03624
20210104T0700,10.924147,88.0,3.671294,11.309921
20210104T0800,11.744146,81.0,4.072935,315.0
20210104T0900,13.034146,77.0,8.049845,296.56506
20210104T1000,14.674147,74.0,10.239453,280.1247
20210104T1100,15.664147,72.0,15.226764,276.78897
20210104T1200,15.864146,70.0,17.64,270.0
20210104T1300,16.084145,68.0,18.0036,268.85425
20210104T1400,16.114147,69.0,16.93531,267.56335
20210104T1500,15.344147,74.0,15.03835,258.95908
20210104T1600,14.704146,77.0,14.618837,260.07376
20210104T1700,13.884147,80.0,13.202726,258.99646
20210104T1800,13.214147,84.0,10.308831,257.90524
20210104T1900,12.804147,87.0,7.342588,258.69006
20210104T2000,12.524146,88.0,2.52,89.99999
20210104T2100,12.224147,88.0,2.9024127,82.874985
20210104T2200,12.064146,88.0,1.9386592,68.19859
20210104T2300,11.474147,92.0,1.08,360.0
20210105T0000,10.974147,95.0,1.2979984,123.69006
20210105T0100,10.624146,96.0,2.5455842,135.0
20210105T0200,10.434147,96.0,2.16,89.99999
20210105T0300,9.954146,96.0,3.219938,63.43495
20210105T0400,9.524146,95.0,3.219938,63.43495
20210105T0500,9.194146,95.0,3.396233,32.005356
20210105T0600,8.964147,95.0,4.379589,9.462311
20210105T0700,9.394147,91.0,4.68,360.0
20210105T0800,10.8341465,83.0,4.379589,350.5377
20210105T0900,12.554147,74.0,5.692099,325.30484
20210105T1000,14.224147,70.0,8.707237,299.74487
20210105T1100,15.484147,66.0,10.739833,283.57043
20210105T1200,16.124146,62.0,12.015589,278.61566
20210105T1300,16.454147,61.0,12.620554,273.2705
20210105T1400,16.334145,62.0,14.417988,267.1376
20210105T1500,15.814147,66.0,14.471821,264.28943
20210105T1600,15.134147,72.0,12.979984,266.8202
20210105T1700,14.214147,79.0,10.08,270.0
20210105T1800,12.954146,84.0,8.669949,274.76364
20210105T1900,12.3341465,88.0,6.489992,273.17984
20210105T2000,12.234146,86.0,3.219938,116.56505
20210105T2100,12.274146,84.0,1.1384199,108.434944
20210105T2200,12.544147,82.0,3.319036,319.3987
20210105T2300,12.404146,84.0,4.1046314,322.12503
20210106T0000,12.014147,88.0,2.5455842,8.130096
20210106T0100,11.744146,88.0,3.0547013,44.999985
20210106T0200,11.404146,88.0,3.5455887,66.037506
20210106T0300,11.374146,89.0,3.0758414,69.443954
20210106T0400,11.134147,91.0,2.3051248,51.34018
20210106T0500,10.754147,91.0,2.5455842,44.999985
20210106T0600,10.0841465,94.0,3.319036,49.398697
20210106T0700,10.704146,86.0,3.5455887,66.037506
20210106T0800,12.654146,69.0,6.2145634,100.00798
20210106T0900,14.924147,56.0,3.8268526,138.81407
20210106T1000,16.804146,49.0,3.6179552,185.71059
20210106T1100,18.144146,45.0,3.7585104,196.69925
20210106T1200,18.924145,45.0,4.1046314,195.25513
20210106T1300,19.214146,46.0,4.6102495,218.65982
20210106T1400,17.514145,58.0,6.489992,236.30994
20210106T1500,15.984147,69.0,7.4128532,240.9454
20210106T1600,15.064146,75.0,7.289444,249.77515
20210106T1700,14.354146,77.0,5.95906,244.98311
20210106T1800,13.774146,79.0,3.0547013,225.0
20210106T1900,13.664146,79.0,2.6208394,164.0546
20210106T2000,13.494146,76.0,5.1544156,102.09476
20210106T2100,12.904146,77.0,3.9763298,84.805565
20210106T2200,12.134147,81.0,4.6938252,85.60129
20210106T2300,11.324146,86.0,5.7599998,89.99999
20210107T0000,10.724147,87.0,6.489992,93.179825
20210107T0100,10.184147,86.0,7.42159,104.03624
20210107T0200,9.554147,85.0,8.12197,102.80426
20210107T0300,8.994146,84.0,8.12197,102.80426
20210107T0400,8.654146,82.0,9.255571,103.49573
20210107T0500,8.684147,84.0,8.12197,102.80426
20210107T0600,8.864146,87.0,8.12197,102.80426
20210107T0700,10.374146,86.0,7.8625183,105.9454
20210107T0800,12.864146,73.0,9.885262,123.11134
20210107T0900,14.804147,64.0,9.931042,133.53119
20210107T1000,16.564148,55.0,9.931042,133.53119
20210107T1100,16.754147,54.0,9.686609,138.01279
20210107T1200,16.404148,58.0,12.88981,144.09027
20210107T1300,16.774147,57.0,12.682018,145.40771
20210107T1400,16.734146,56.0,9.178235,154.44003
20210107T1500,16.964146,54.0,6.28713,166.75948
20210107T1600,17.314148,54.0,5.4119864,176.18593
20210107T1700,16.584145,60.0,4.379589,170.53767
20210107T1800,15.264147,66.0,5.154415,155.22485
20210107T1900,14.314146,70.0,7.127636,135.0
20210107T2000,13.5841465,67.0,3.396233,122.00538
20210107T2100,13.074146,69.0,5.8603754,100.61965
20210107T2200,12.734146,73.0,5.4477882,97.59464
20210107T2300,12.624146,76.0,5.506941,101.30993
20210108T0000,12.384147,78.0,5.1544156,102.09476
20210108T0100,12.124146,80.0,3.96,89.99999
20210108T0200,11.894147,81.0,3.2599385,83.65981
20210108T0300,11.604146,83.0,3.671294,78.69006
20210108T0400,11.014147,85.0,4.379589,80.537674
20210108T0500,10.624146,86.0,4.68,89.99999
20210108T0600,10.434147,86.0,5.04,89.99999
20210108T0700,11.554147,79.0,3.6,89.99999
20210108T0800,12.994146,70.0,2.1897945,80.537674
20210108T0900,14.634147,64.0,1.1384199,71.56504
20210108T1000,16.324146,57.0,1.2979984,303.69006
20210108T1100,16.754147,56.0,3.2399998,270.0
20210108T1200,16.854145,58.0,5.0142193,248.9625
20210108T1300,16.154148,63.0,6.792466,237.99463
20210108T1400,15.494147,69.0,6.9153743,231.3402
20210108T1500,15.204146,73.0,6.193674,234.46233
20210108T1600,14.854146,75.0,5.1919937,236.30994
20210108T1700,14.3341465,77.0,4.510787,241.38954
20210108T1800,13.664146,81.0,3.671294,258.69006
20210108T1900,13.174147,84.0,4.1046314,254.74487
20210108T2000,12.704146,87.0,4.6800003,247.38014
20210108T2100,12.284146,90.0,3.7064266,209.05461
20210108T2200,11.864146,90.0,4.1046314,217.87498
20210108T2300,11.364146,91.0,2.5959969,213.69006